tic	at
AOXY	0.5460
AOXY	0.6550
AOXY	0.5590
AOXY	0.5850
ADM	37056.0000
ADM	31585.0000
ADM	31548.0000
ADM	42193.0000
ADM	41553.0000
ADM	43752.0000
ARDNA	99.8100
ARDNA	115.0970
ARDNA	127.8840
ARDNA	135.0630
ARDNA	90.0470
PNW1	10963.5770
PNW1	11503.4020
PNW1	12241.5820
PNW1	13032.2370
PNW1	13242.5420
PNW1	13381.3770
ARCB	972.2980
ARCB	869.5460
ARCB	860.9510
ARCB	916.2200
ARCB	1034.4620
ARCB	1017.3260
ETR1	6568.2130
ETR1	6435.6400
ETR1	6751.3680
ETR1	7212.2120
ETR1	7819.4450
ETR1	8034.8900
ARW	7118.2850
ARW	7762.3660
ARW	9600.5380
ARW	9829.0790
ARW	10785.6870
ARW	12060.8830
ARTW	27.2260
ARTW	23.9200
ARTW	26.7780
ARTW	25.8550
ARTW	31.2290
ARTW	32.7680
AB.H	9.0780
AB.H	8.5570
AB.H	6.3740
AB.H	10.8720
AB.H	9.8540
AB.H	9.8480
ASH	5771.0000
ASH	9447.0000
ASH	9531.0000
ASH	12966.0000
ASH	12524.0000
ASH	12088.0000
ASPN.1	20.0010
ASPN.1	11.6940
ALOT	62.1550
ALOT	64.6760
ALOT	64.9990
ALOT	67.0620
ALOT	79.9130
ALOT	77.9640
ATRO	104.6740
ATRO	138.7140
ATRO	150.8880
ATRO	174.9050
ATRO	211.9890
ATRO	491.2710
ACLLF	8673.6000
ACLLF	9954.6000
ACLLF	10239.8000
ACLLF	12453.0000
ACLLF	14315.0000
ACLLF	16010.0000
GAS	6710.0000
GAS	7074.0000
GAS	7518.0000
GAS	13913.0000
GAS	14141.0000
GAS	14550.0000
CEVL	5318.0000
CEVL	5031.0000
ATW	1099.9580
ATW	1509.4020
ATW	1724.4400
ATW	2375.3910
ATW	2943.7620
ATW	3657.2660
REX	451.2880
REX	451.5050
REX	375.7220
REX	438.0490
REX	405.3300
REX	427.8680
ASAM	131.5170
ASAM	141.1460
ASAM	127.7840
ASAM	108.0420
ADSK	2420.7000
ADSK	2447.2000
ADSK	2787.6000
ADSK	3227.8000
ADSK	4308.4000
